Title,Genre,Year,Runtime,IMDB,Language
The Crimes That Bind,Crime,2020,99,6.6,Spanish
The Day of the Lord,Drama,2020,93,4.9,Spanish
The Decline,Thriller,2020,83,5.9,French
The Devil All the Time,Thriller,2020,138,7.1,English
The Half of It,Romance,2020,105,6.9,English
The Kissing Booth 2,Romance,2020,131,5.8,English
The Larva Island Movie,Animation,2020,90,5.1,English
The Last Days of American Crime,Crime,2020,149,3.7,English
The Last Thing He Wanted,Thriller,2020,115,4.3,English
The Life Ahead,Drama,2020,95,6.8,Italian
The Lovebirds,Romance,2020,87,6.1,English
The Main Event,Comedy,2020,101,4.8,English
The Midnight Sky,Science fiction,2020,118,5.6,English
The Occupant,Thriller,2020,103,6.4,Spanish
The Old Guard,Action,2020,124,6.7,English
The Paramedic,Thriller,2020,94,5.6,Spanish
The Players,Comedy,2020,88,4.6,Italian
The Princess Switch: Switched Again,Romance,2020,97,5.4,English
The Prom,Musical,2020,132,5.9,English
The Sleepover,Comedy,2020,103,5.6,English
The Social Dilemma,Documentary,2020,94,7.6,English
The Speed Cubers,Documentary,2020,40,7.4,English
The Three Deaths of Marisela Escobedo,Documentary,2020,109,8.2,Spanish
The Trial of the Chicago 7,Drama,2020,130,7.8,English
The Willoughbys,Animation,2020,90,6.4,English
The Wrong Missy,Comedy,2020,90,5.7,English
Tigertail,Drama,2020,91,6.5,English
To All the Boys: P.S. I Still Love You,Romance,2020,102,6,English
Ultras,Drama,2020,108,5.9,Italian
Uncorked,Drama,2020,103,6.3,English
Under the Riccione Sun,Romance,2020,101,5.4,Italian
Unknown Origins,Thriller,2020,96,6.1,Spanish
Vampires vs. the Bronx,Horror,2020,86,5.6,English
We Are One,Documentary,2020,86,4.6,French
We Can Be Heroes,Action,2020,100,4.7,English
What Did Jack Do?,Drama,2020,17,6.5,English
Work It,Comedy,2020,93,6.1,English
Yeh Ballet,Drama,2020,117,7.6,Hindi
You've Got This,Romance,2020,111,5.8,Spanish
A Week Away,Comedy,2021,97,5.7,English
Ajeeb Daastaans,Drama,2021,142,6.7,Hindi
Arlo the Alligator Boy,Animation,2021,92,6.7,English
Army of the Dead,Crime,2021,148,5.9,English
Bad Trip,Comedy,2021,86,6.6,English
Baggio: The Divine Ponytail,Documentary,2021,92,6.2,Italian
Below Zero,Drama,2021,106,6.2,Spanish
Biggie: I Got a Story to Tell,Documentary,2021,97,6.9,English
Blue Miracle,Drama,2021,95,6.7,English
Caught by a Wave,Romance,2021,99,5.7,Italian
Chadwick Boseman: Portrait of an Artist,Documentary,2021,21,6.5,English
Concrete Cowboy,Drama,2021,111,6.3,English
"Crack: Cocaine, Corruption & Conspiracy",Documentary,2021,89,6.7,English
Crazy About Her,Romance,2021,102,6.6,Spanish
Dolly Parton: A MusiCares Tribute,Documentary,2021,55,6.5,English
Double Dad,Comedy,2021,103,5.6,Portuguese
Finding 'Ohana,Comedy,2021,123,6.1,English
Get the Goat,Comedy,2021,97,6.3,Portuguese
Get the Grift,Comedy,2021,94,5.5,Portuguese
I Am All Girls,Thriller,2021,107,5.8,English
Madame Claude,Drama,2021,112,5.4,French
Malcolm & Marie,Romance,2021,106,6.7,English
Milestone,Drama,2021,98,6.6,Hindi
Monster,Drama,2021,98,6.5,English
Moxie,Drama,2021,111,6.7,English
Nail Bomber: Manhunt,Documentary,2021,72,6.3,English
Operation Varsity Blues: The College Admissions Scandal,Documentary,2021,99,7,English
Outside the Wire,Action,2021,114,5.4,English
Oxygen,Science fiction,2021,101,6.5,French
Pagglait,Comedy,2021,114,6.9,Hindi
Pele,Documentary,2021,108,7,English
Pieces of a Woman,Drama,2021,126,7.1,English
Sardar Ka Grandson,Comedy,2021,139,4.1,Hindi
Searching for Sheela,Documentary,2021,58,4.1,English
Seaspiracy,Documentary,2021,89,8.2,English
Sentinelle,Action,2021,80,4.7,French
"Strip Down, Rise Up",Documentary,2021,112,5.2,English
The Dig,Drama,2021,112,7.1,English
The Girl on the Train,Thriller,2021,120,4.4,Hindi
The Last Paradiso,Romance,2021,107,5.6,Italian
The Minimalists: Less Is Now,Documentary,2021,53,5.9,English
The Misadventures of Hedi and Cokeman,Comedy,2021,99,4.5,French
The White Tiger,Drama,2021,125,7.1,English
The Woman in the Window,Thriller,2021,100,5.7,English
Things Heard & Seen,Horror,2021,121,5.3,English
Thunder Force,Comedy,2021,105,4.4,English
To All the Boys: Always and Forever,Romance,2021,109,6.3,English
Tony Parker: The Final Shot,Documentary,2021,98,6.8,French
Tribhanga – Tedhi Medhi Crazy,Drama,2021,95,6.1,Hindi
What Would Sophia Loren Do?,Documentary,2021,32,6.6,English
