state,county,site,date,OC PM2.5 LC TOR,OC PM2.5 LC TOT
02,090,0035,2022-02-13,1.142,1.32335
02,090,0035,2022-02-16,3.898,4.44611
02,090,0035,2022-02-19,5.911,6.62712
02,090,0035,2022-02-22,2.258,2.54871
02,090,0035,2022-02-25,3.064,3.95371
02,090,0035,2022-02-28,0.736,0.86046
02,090,0035,2022-03-03,12.235,14.71969
02,090,0035,2022-03-06,1.471,1.63833
02,090,0035,2022-03-09,2.48,2.74412
02,090,0035,2022-03-12,0.281,0.30921
02,090,0035,2022-03-15,5.5,6.54914
02,090,0035,2022-03-18,4.918,5.5855
02,090,0035,2022-03-21,0.757,0.86531
02,090,0035,2022-03-24,0.446,0.47764
02,090,0035,2022-03-27,6.449,7.32349
02,090,0035,2022-03-30,0.462,0.49243
02,090,0035,2022-04-02,0.312,0.35931
02,090,0035,2022-04-05,1.099,1.22535
02,090,0035,2022-04-08,0.443,0.48938
02,090,0035,2022-04-11,0.848,0.94308
02,090,0035,2022-04-14,4.722,5.3085
02,090,0035,2022-04-17,0.516,0.58959
02,090,0035,2022-04-20,1.904,2.08399
02,090,0035,2022-04-23,3.658,4.24781
02,090,0035,2022-04-26,1.466,1.58323
02,090,0035,2022-04-29,2.376,2.6318
02,090,0035,2022-05-02,2.274,2.4806
02,090,0035,2022-05-05,0.989,1.14721
02,090,0035,2022-05-08,0.523,0.58344
02,090,0035,2022-05-11,0.962,1.03735
02,090,0035,2022-05-14,0.792,0.85241
02,090,0035,2022-05-17,0.68,0.73975
02,090,0035,2022-05-26,1.177,1.20219
02,090,0035,2022-05-29,2.431,2.56943
04,013,9997,2022-01-02,5.205,5.68301
04,013,9997,2022-01-05,5.123,5.4889
04,013,9997,2022-01-08,5.28,5.70877
04,013,9997,2022-01-11,2.901,3.12321
04,013,9997,2022-01-14,3.989,4.17037
04,013,9997,2022-01-17,6.561,7.18246
04,013,9997,2022-01-20,4.467,4.69966
04,013,9997,2022-01-23,2.136,2.28743
04,013,9997,2022-01-26,2.968,3.22954
04,013,9997,2022-01-29,1.614,1.84945
04,013,9997,2022-02-01,3.344,3.51706
04,013,9997,2022-02-04,1.551,1.71388
04,013,9997,2022-02-07,1.969,2.16704
04,013,9997,2022-02-10,2.529,2.70899
04,013,9997,2022-02-13,5.165,5.51582
04,013,9997,2022-02-16,1.059,1.06441
04,013,9997,2022-02-19,3.851,4.13093
04,013,9997,2022-02-22,1.28,1.31869
04,013,9997,2022-02-25,3.112,3.36471
04,013,9997,2022-02-28,4.006,4.2611
04,013,9997,2022-03-03,2.108,2.32864
04,013,9997,2022-03-06,1.998,2.10262
04,013,9997,2022-03-09,1.773,1.97174
04,013,9997,2022-03-12,3.005,3.36967
04,013,9997,2022-03-15,3.336,3.55092
04,013,9997,2022-03-18,1.937,2.05995
04,013,9997,2022-03-21,1.192,1.19357
04,013,9997,2022-03-24,2.04,2.25973
04,013,9997,2022-03-27,2.272,2.36877
04,013,9997,2022-03-30,1.622,1.72764
04,013,9997,2022-04-02,1.366,1.44336
04,013,9997,2022-04-05,1.532,1.57171
04,013,9997,2022-04-08,1.585,1.69022
04,013,9997,2022-04-11,1.111,1.09564
04,013,9997,2022-04-14,1.793,1.85338
04,013,9997,2022-04-17,2.279,2.33686
04,013,9997,2022-04-20,1.386,1.34352
04,013,9997,2022-04-23,2.088,2.04296
04,013,9997,2022-04-26,4.393,4.20589
04,013,9997,2022-04-29,1.67,1.60163
04,013,9997,2022-05-02,1.559,1.51851
04,013,9997,2022-05-05,2.11,2.20921
04,013,9997,2022-05-08,1.437,1.6169
04,013,9997,2022-05-14,2.69,2.87135
04,013,9997,2022-05-17,2.407,2.38082
04,013,9997,2022-05-20,2.04,1.9863
04,013,9997,2022-05-23,1.08,1.07982
04,013,9997,2022-05-26,1.186,1.25369
04,013,9997,2022-05-29,1.441,1.39007
04,019,1028,2022-01-02,3.132,3.48035
04,019,1028,2022-01-05,2.26,2.52217
04,019,1028,2022-01-08,2.767,3.07743
04,019,1028,2022-01-11,2.082,2.24168
04,019,1028,2022-01-14,2.196,2.41703
04,019,1028,2022-01-17,2.695,2.90685
04,019,1028,2022-01-20,2.124,2.31044
04,019,1028,2022-01-23,2.07,2.28937
04,019,1028,2022-01-26,1.412,1.56037
04,019,1028,2022-01-29,1.659,1.8576
04,019,1028,2022-02-01,1.875,2.03649
04,019,1028,2022-02-04,1.792,1.99006
04,019,1028,2022-02-07,0.757,0.78882
04,019,1028,2022-02-10,1.768,1.9157
04,019,1028,2022-02-13,2.277,2.47109
04,019,1028,2022-02-16,0.939,1.01444
04,019,1028,2022-02-19,1.704,1.87112
04,019,1028,2022-02-22,0.943,0.99977
04,019,1028,2022-02-25,2.26,2.49582
04,019,1028,2022-02-28,1.753,1.94785
04,019,1028,2022-03-03,1.31,1.39936
04,019,1028,2022-03-06,0.713,0.72098
04,019,1028,2022-03-09,1.694,1.83874
