value,state,zcta,lat,lon,pov,zcta_pop,CMAQ
8.006306306,California,93422,35.49158,-120.66804,6.5,31375,4.045829058
9.497826087,California,94063,37.482934,-122.20337,15.7,30949,5.795291945
10.36779661,California,93103,34.427775,-119.691218,6.9,20249,4.621209208
7.874545455,California,93458,34.949147,-120.43763,18.4,55431,4.226113797
8.63553719,California,95020,36.999571,-121.574684,7.6,57349,6.517516545
12.26558704,California,95112,37.348497,-121.894898,15.9,55927,7.773002511
6.767213115,California,95062,36.983921,-121.989328,5.4,36079,5.061994729
15.2609375,California,96001,40.549985,-122.382011,15.3,33865,3.429817599
10.83589744,California,96019,40.69184,-122.40179,10.5,10082,3.95248466
10.8395122,California,94590,38.102507,-122.237976,18.8,35420,10.71285712
9.078494624,California,95401,38.443503,-122.710169,5.8,36981,5.929802866
17.17716535,California,95354,37.641583,-120.994622,29,25394,8.64579683
12.96979472,California,95991,39.138773,-121.618549,7.1,40593,7.02573322
20.6480916,California,93292,36.332178999999996,-119.291228,11.3,39032,6.584716444
10.3647541,California,91360,34.210154,-118.870496,4.7,42402,6.898123855
9.693220339,California,93040,34.404268,-118.809946,17,2031,5.451476481
10.68319328,California,93063,34.276362,-118.683757,4.4,54366,6.898123855
10.0210084,California,93036,34.252378,-119.143176,4.2,41691,5.675212674
10.64333333,California,95776,38.66121,-121.73269,9.6,21902,6.746774479
9.056906077,Colorado,80022,39.826007,-104.937438,0,42699,5.085549964
7.184745763,Colorado,80120,39.604399,-105.019526,8.2,28435,4.573256592
7.688034188,Colorado,80501,40.164576,-105.100856,14.8,39521,4.426824419
6.486065574,Colorado,80310,40.021097,-105.26338199999999,5.766666667,6578,5.085549964
7.989311164,Colorado,80294,39.751184,-104.987625,7.9,0,5.085549964
8.21875,Colorado,80216,39.781083,-104.95665,32,10924,5.085549964
8.0775,Colorado,80223,39.704005,-104.998113,17.6,17987,4.573256592
5.809917355,Colorado,80128,39.534488,-105.070358,3.4,34988,4.573256592
4.318333333,Colorado,80106,39.231384,-104.63477,4.2,4232,4.932026951
6.173469388,Colorado,80905,38.848014,-104.828564,16.5,16254,3.902921871
6.679166667,Colorado,80521,40.571288,-105.079693,9.5,33409,3.848796147
9.112711864,Colorado,81501,39.063798,-108.561173,14.4,23465,3.835827575
7.335779817,Colorado,81003,38.263058,-104.612133,24.7,14939,5.200836641
7.666956522,Colorado,80634,40.414877,-104.70693,14.8,52861,5.123931396
8.23362069,Colorado,80651,40.209387,-104.82405,6.5,4176,5.706081519
11.92110092,Connecticut,6604,41.170833,-73.194722,22.1,30313,7.666388153
11.70431034,Connecticut,6810,41.399167,-73.443056,8.6,49482,7.666388153
11.79459459,Connecticut,6851,41.1125,-73.407222,8.2,26703,7.666388153
10.19226361,Connecticut,6880,41.118333,-73.336667,2.6,26647,7.666388153
9.564431487,Connecticut,6108,41.784722,-72.631667,18.5,24307,6.659058967
10.52678571,Connecticut,6114,41.7425,-72.634444,9.3,27449,6.659058967
8.962711864,Connecticut,6787,41.64486,-73.07908,1.3,7975,6.104501156
6.708403361,Connecticut,6756,41.821342,-73.297257,1.2,2853,5.438827437
11.51583333,Connecticut,6513,41.291111,-72.894167,6.5,38978,8.597730586
11.2868932,Connecticut,6513,41.3014,-72.902871,6.3,38978,8.597730586
12.11694915,Connecticut,6510,41.310833,-72.916944,6.3,2737,8.597730586
10.62477876,Connecticut,6511,41.331389,-72.919722,17.6,53600,8.597730586
11.62722222,Connecticut,6702,41.550556,-73.043611,56.3,3654,6.104501156
10.06160458,Connecticut,6360,41.524167,-72.076667,10.1,37541,7.538637828
